transport_type,trip,stop,line,delay,theoretical_time,expectedArrivalTime,date,direction,year,month,day,hour,minute,temp,humidity,visibility,wind,rain
0,,0089,39,,,,2020-11-24 00:01:31.173017,,2020,11,1,0,1,282.19,87,10000,3.6,0
0,,0089,44,,,,2020-11-24 00:01:31.349020,,2020,11,1,0,1,282.19,87,10000,3.6,0
0,,5501,39,,,,2020-11-24 00:01:31.528026,,2020,11,1,0,1,282.19,87,10000,3.6,0
0,,5501,44,,,,2020-11-24 00:01:31.705571,,2020,11,1,0,1,282.19,87,10000,3.6,0
0,,5502,39,,,,2020-11-24 00:01:31.883266,,2020,11,1,0,1,282.19,87,10000,3.6,0
0,,5502,44,,,,2020-11-24 00:01:32.062395,,2020,11,1,0,1,282.19,87,10000,3.6,0
0,,5503,39,,,,2020-11-24 00:01:32.240585,,2020,11,1,0,1,282.19,87,10000,3.6,0
0,,5503,44,,,,2020-11-24 00:01:32.419917,,2020,11,1,0,1,282.19,87,10000,3.6,0
0,,5504,39,,,,2020-11-24 00:01:32.598696,,2020,11,1,0,1,282.19,87,10000,3.6,0
0,,5504,44,,,,2020-11-24 00:01:32.777308,,2020,11,1,0,1,282.19,87,10000,3.6,0
0,,5281G,39,,,,2020-11-24 00:01:32.957164,,2020,11,1,0,1,282.19,87,10000,3.6,0
0,,5281G,44,,,,2020-11-24 00:01:33.137645,,2020,11,1,0,1,282.19,87,10000,3.6,0
0,,5281G,8,,,,2020-11-24 00:01:33.487966,,2020,11,1,0,1,282.19,87,10000,3.6,0
0,,5507,39,,,,2020-11-24 00:01:33.667115,,2020,11,1,0,1,282.19,87,10000,3.6,0
0,,5507,44,,,,2020-11-24 00:01:33.846701,,2020,11,1,0,1,282.19,87,10000,3.6,0
0,,5508,39,,,,2020-11-24 00:01:34.026991,,2020,11,1,0,1,282.19,87,10000,3.6,0
0,,5508,44,,,,2020-11-24 00:01:34.205548,,2020,11,1,0,1,282.19,87,10000,3.6,0
0,,5509,39,,,,2020-11-24 00:01:34.384940,,2020,11,1,0,1,282.19,87,10000,3.6,0
0,,5510,39,,,,2020-11-24 00:01:34.565593,,2020,11,1,0,1,282.19,87,10000,3.6,0
