transport_type,trip,stop,line,delay,theoretical_time,expectedArrivalTime,date,direction,year,month,day,hour,minute,temp,humidity,visibility,wind,rain
0,,0089,39,,,,2020-11-20 00:00:10.043907,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,0089,44,,,,2020-11-20 00:00:10.220992,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5501,39,,,,2020-11-20 00:00:10.400249,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5501,44,,,,2020-11-20 00:00:10.579163,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5502,39,,,,2020-11-20 00:00:10.758084,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5502,44,,,,2020-11-20 00:00:10.937215,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5503,39,,,,2020-11-20 00:00:11.116533,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5503,44,,,,2020-11-20 00:00:11.296982,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5504,39,,,,2020-11-20 00:00:11.478849,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5504,44,,,,2020-11-20 00:00:11.657962,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5281G,39,,,,2020-11-20 00:00:11.866345,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5281G,44,,,,2020-11-20 00:00:12.062802,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5281G,8,,,,2020-11-20 00:00:12.455229,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5507,39,,,,2020-11-20 00:00:12.659338,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5507,44,,,,2020-11-20 00:00:12.846455,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5508,39,,,,2020-11-20 00:00:13.033082,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5508,44,,,,2020-11-20 00:00:13.216642,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5509,39,,,,2020-11-20 00:00:13.405717,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5510,39,,,,2020-11-20 00:00:13.585653,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5512,39,,,,2020-11-20 00:00:15.936052,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,6474F,39,,,,2020-11-20 00:00:16.118295,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5529,39,,,,2020-11-20 00:00:16.300285,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5532,39,,,,2020-11-20 00:00:16.483560,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5515,39,,,,2020-11-20 00:00:16.665738,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5516,39,,,,2020-11-20 00:00:16.846890,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5517,39,,,,2020-11-20 00:00:17.026164,,2020,11,4,0,0,278.21,86,10000,2.6,0
0,,5518,39,,,,2020-11-20 00:00:17.219061,,2020,11,4,0,0,278.21,86,10000,2.6,0
