transport_type,trip,stop,line,delay,theoretical_time,expectedArrivalTime,date,direction,year,month,day,hour,minute,temp,humidity,visibility,wind,rain
0,,0089,39,,,,2020-11-22 00:01:45.679583,,2020,11,6,0,1,282.29,81,10000,5.1,0
0,,0089,44,,,,2020-11-22 00:01:45.680067,,2020,11,6,0,1,282.29,81,10000,5.1,0
0,,5501,39,,,,2020-11-22 00:01:45.860483,,2020,11,6,0,1,282.29,81,10000,5.1,0
0,,5501,44,,,,2020-11-22 00:01:45.861068,,2020,11,6,0,1,282.29,81,10000,5.1,0
0,,5502,39,,,,2020-11-22 00:01:46.041324,,2020,11,6,0,1,282.29,81,10000,5.1,0
0,,5502,44,,,,2020-11-22 00:01:46.223289,,2020,11,6,0,1,282.29,81,10000,5.1,0
0,,5503,39,,,,2020-11-22 00:01:46.403361,,2020,11,6,0,1,282.29,81,10000,5.1,0
0,,5503,44,,,,2020-11-22 00:01:46.584973,,2020,11,6,0,1,282.29,81,10000,5.1,0
0,,5504,39,,,,2020-11-22 00:01:46.765413,,2020,11,6,0,1,282.29,81,10000,5.1,0
0,,5504,44,,,,2020-11-22 00:01:46.948613,,2020,11,6,0,1,282.29,81,10000,5.1,0
0,,5281G,39,,,,2020-11-22 00:01:47.129869,,2020,11,6,0,1,282.29,81,10000,5.1,0
0,,5281G,44,,,,2020-11-22 00:01:47.312625,,2020,11,6,0,1,282.29,81,10000,5.1,0
0,,5281G,8,,,,2020-11-22 00:01:47.664292,,2020,11,6,0,1,282.29,81,10000,5.1,0
0,,5507,39,,,,2020-11-22 00:01:47.843787,,2020,11,6,0,1,282.29,81,10000,5.1,0
0,,5507,44,,,,2020-11-22 00:01:48.023412,,2020,11,6,0,1,282.29,81,10000,5.1,0
0,,5508,39,,,,2020-11-22 00:01:48.203341,,2020,11,6,0,1,282.29,81,10000,5.1,0
0,,5508,44,,,,2020-11-22 00:01:48.383887,,2020,11,6,0,1,282.29,81,10000,5.1,0
