transport_type,trip,stop,line,delay,theoretical_time,expectedArrivalTime,date,direction,year,month,day,hour,minute,temp,humidity,visibility,wind,rain
0,,5532,39,,,,2020-11-26 00:05:02.957747,,2020,11,3,0,5,280.97,81,10000,3.6,0
0,,5515,39,,,,2020-11-26 00:05:03.139372,,2020,11,3,0,5,280.97,81,10000,3.6,0
0,,5516,39,,,,2020-11-26 00:05:03.321407,,2020,11,3,0,5,280.97,81,10000,3.6,0
0,,5517,39,,,,2020-11-26 00:05:03.503548,,2020,11,3,0,5,280.97,81,10000,3.6,0
0,,5518,39,,,,2020-11-26 00:05:03.685519,,2020,11,3,0,5,280.97,81,10000,3.6,0
0,,5519,39,,,,2020-11-26 00:05:03.867086,,2020,11,3,0,5,280.97,81,10000,3.6,0
0,,0089,39,,,,2020-11-26 00:07:35.460212,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,0089,44,,,,2020-11-26 00:07:35.460691,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5501,39,,,,2020-11-26 00:07:35.640188,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5501,44,,,,2020-11-26 00:07:35.640800,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5502,39,,,,2020-11-26 00:07:35.828338,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5502,44,,,,2020-11-26 00:07:35.828928,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5503,39,,,,2020-11-26 00:07:36.007566,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5503,44,,,,2020-11-26 00:07:36.008155,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5504,39,,,,2020-11-26 00:07:36.194498,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5504,44,,,,2020-11-26 00:07:36.195086,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5281G,39,,,,2020-11-26 00:07:36.375735,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5281G,44,,,,2020-11-26 00:07:36.555623,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5281G,8,,,,2020-11-26 00:07:36.914175,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5507,39,,,,2020-11-26 00:07:37.091860,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5507,44,,,,2020-11-26 00:07:37.279406,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5508,39,,,,2020-11-26 00:07:37.456600,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5508,44,,,,2020-11-26 00:07:37.643630,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5509,39,,,,2020-11-26 00:07:37.821689,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5510,39,,,,2020-11-26 00:07:38.008893,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5512,39,,,,2020-11-26 00:07:40.444557,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,6474F,39,,,,2020-11-26 00:07:40.622836,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5529,39,,,,2020-11-26 00:07:40.801329,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5532,39,,,,2020-11-26 00:07:40.979385,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5515,39,,,,2020-11-26 00:07:41.158059,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5516,39,,,,2020-11-26 00:07:41.338716,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5517,39,,,,2020-11-26 00:07:41.517344,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5518,39,,,,2020-11-26 00:07:41.696919,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,5519,39,,,,2020-11-26 00:07:41.875496,,2020,11,3,0,7,280.97,81,10000,3.6,0
0,,0089,39,,,,2020-11-26 00:10:13.525389,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,0089,44,,,,2020-11-26 00:10:13.525830,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5501,39,,,,2020-11-26 00:10:13.704849,,2020,11,3,0,10,280.97,81,10000,3.6,0
